HP X1000 Wired USB Mouse with 3 Handy Buttons,3 buttons improve productivity;Optical sensor works on most surfaces. The sleek and modern HP Mouse X1000 adds an instant touch of trend-setting style to any work space. Glossy black and metallic gray shine with sophistication. 3 years manufacturer warranty on the device from the date of purchase. Operating System: Windows Xp;Style Name: 1600 Dpi,269.00,HP,Accessories,Accessory_1,20,src/assets/images/Accessories/Accessory_1.jpg
HP 240 Bluetooth Mouse,"Lock On with Bluetooth 5.1:Lose the dongle with the a mouse that has Bluetooth 5.1 wireless connectivity. Picks up power efficiency, and ensures a longer and stronger connection.
Smooth, Speedy, Sensitive:This mouse's optical sensor has super accurate tracking at 1600 DPI to precisely pick up every flick of your wrist - smooth, speedy, and sensitive.",799.00,HP,Accessories,Accessory_2,10,src/assets/images/Accessories/Accessory_2.jpg
"Lenovo 600 Bluetooth 5.0 Silent Mouse: Compact, Portable, Dongle-Free Multi-Device connectivity","Blue Optical Sensor: Take your productivity to the max with a blue optical sensor that allows you to work on almost any surface, revolutionary, distraction-free silent buttons, and on-the-fly adjustable DPI controls. DPI Resolution : 3-level Adjustable (800, 1600, 2400)
Button Life: Right/Left buttons - up to 3 million click;Scroll button - up to 100,000 clicks | Number of Buttons : 4 (Left Click, Right Click, Scroll Click, DPI Switch) | Scrolling : 2-way Scroll Wheel",1499.00,Lenovo,Accessories,Accessory_3,50,src/assets/images/Accessories/Accessory_3.jpg
"Lenovo 400 Wireless Mouse, 1200DPI Optical Sensor, 2.4GHz Wireless Nano USB, 3-Button","Take out the mouse, insert the USB, and click away. Your connection stays strong with the 2.4 GHz USB receiver. And when you’re done, dock the receiver in the mouse itself. Long hours are no match for this well-designed mouse. The Lenovo 400 Wireless Mouse is ergonomically sculpted to keep you comfortable even on days you’re burning the midnight oil. The Lenovo 400 Wireless Mouse meets our rigorous test standards and is a sure bet, with a battery life of up to 12 months and left/right buttons that last up to 8 million clicks",799.00,Lenovo,Accessories,Accessory_4,20,src/assets/images/Accessories/Accessory_4.jpg
HP (Refurbished) 150 Wired Keyboard,"This Renewed product is tested to work and look like new with minimal to no signs of wear & tear; the product comes with relevant accessories and is backed by a minimum six month seller warranty; box may be generic. Quick, Comfy, Accurate: This chiclet-style keyboard's design is sleek. The low-profile design keeps keystrokes quick, comfy, and quite accurate...just your type. A Shortcut Above: Common controls are integrated into 12 shortcut combos with the Fn key—music, movies, volume, homepage, bookmarks, and email. Now that's a shortcut above.",446.00,HP,Accessories,Accessory_5,60,src/assets/images/Accessories/Accessory_5.jpg
HP GK320 Wired Full Size RGB Backlight Mechanical Gaming Keyboard,"Convertible dynamic mixing can easily adjust the brightness and switch display modes, and the variety of light effects are dazzling and exciting, and your desire to fight is stimulated.
50 million times ultra-long lifetime mechanical switch, A variety of mechanical buttons let you experience different knocks.
Matt double Injection Keycaps With a magnetic ring to eliminate interfering signals and transmission error",1947.00,HP,Accessories,Accessory_6,15,src/assets/images/Accessories/Accessory_6.jpg
"Lenovo 300 USB Keyboard, Wired, Adjustable Tilt, Ergonomic, Windows 7/8/10, GX30M39655, Black","The Lenovo 300 USB Keyboard is perfect for those looking for a basic USB keyboard that just works. The keyboard boasts an island key design that makes typing a joy. In addition, the Lenovo 300 USB Keyboard passed rigorous testing simulations to ensure maximum reliability.",5334.00,Lenovo,Accessories,Accessory_7,45,src/assets/images/Accessories/Accessory_7.jpg
"Lenovo 510 Wireless Keyboard and Mouse Set, 2.4 GHz Nano USB Receiver, Full Size, Island Key Design","Complete control of both your wireless keyboard & mouse combo with a simple 2.4 GHz dongle. Spill resistant keyboard. With a liquid-resistant, molded casing, your keyboard won’t mind sharing a cup of your morning joe. With LED indicators on the Caps Lock and Num Lock keys, easily avoid password typos. Complete control of both your wireless keyboard & mouse combo with a simple 2.4 GHz dongle. Spill resistant keyboard. With LED indicators on the Caps Lock and Num Lock keys, easily avoid password typos",2290.00,Lenovo,Accessories,Accessory_8,15,src/assets/images/Accessories/Accessory_8.jpg
"SanDisk Ultra Dual Drive Go USB Type C Pendrive for Mobile (Black, 128 GB, 5Y - SDDDC3-128G-I35)","The 2-in-1 flash drive with a reversible USB Type-C and a traditional Type-A connector. Seamlessly move content between your USB Type-C smartphone, tablets and Macs and USB Type-A computers. Free up space on your USB Type-C smartphone so you can take more photos. Automatically back up photos using the SanDisk Memory Zone app. High-performance USB 3.1 Gen 1 drive with 150MB/s read speeds lets you quickly move your files to your computer.",1099.00,ScanDisk,Accessories,Accessory_9,40,src/assets/images/Accessories/Accessory_9.jpg
"SanDisk Ultra Dual Drive Go USB Type- C, Absinthe Green, India, 400MB/s 256GB, Mobie Pendrive","The 2-in-1 Pendrive for Mobile with a reversible USB Type-C and a traditional Type-A connector. Seamlessly move content between your USB Type-C smartphone, tablets and Macs and USB Type-A computers. High-performance USB 3.2 Gen 1 drive with 400MB/s read speeds lets you quickly move your files to your computer. Free up space on your USB Type-C smartphone so you can take more photos",2289.00,ScanDisk,Accessories,Accessory_10,30,src/assets/images/Accessories/Accessory_10.jpg
SanDisk SDCZ50-128G-I35 USB2.0 128 GB Pen Drive (Red and Black),Compact design for maximum portability. Simple drag-and-drop file backup. Material:Plastic. USB 2.0 interface,819.00,ScanDisk,Accessories,Accessory_11,20,src/assets/images/Accessories/Accessory_11.jpg
SanDisk Ultra Curve USB 3.2 32GB 100MB/s R Navy Blue,"Compact Design for Maximum Portability. Store more with capacities up to 16gb 5-year limited warranty , High-Capacity Drive Accommodates Your Favorite Media Files. Write Speed : 20 MB/s (USB 2.0). Operating temperature: 0ºC to 45ºC , Storage temperature: -10ºC to 70ºC. SanDisk SecureAccess Software Protects Drive from Unauthorized Access",429.00,ScanDisk,Accessories,Accessory_12,50,src/assets/images/Accessories/Accessory_12.jpg
